feature,tipo,decisao,justificativa
id,identificador,EXCLUIR (não-feature),Chave técnica sem significado preditivo; usada só para rastreabilidade/deduplicação.
data_inversa,data,EXCLUIR (não-feature),"Usada para construir o split temporal (D-15), não como input do modelo — o modelo não pode 'ver' a data calendário completa, só mes/dia_semana/hora, que já são features."
ano,numérica,EXCLUIR (não-feature),"Treino e teste têm suporte de 'ano' quase disjunto por construção do split temporal (D-15); incluí-la deixaria o modelo aprender 'ano=2026 => teste' em vez de padrão real, e não generaliza para anos futuros fora do range visto."
gravidade_4,alvo alternativo,EXCLUIR (não-feature),É o alvo multiclasse alternativo (D-01) — jamais uma feature de si mesma.
geocoord_valido,booleana,EXCLUIR (constante),"100% True em toda a Gold atual (D-18) — variância zero, nenhuma informação para qualquer modelo."
uf,categórica,INCLUIR — one-hot (fit só no treino),"Baixa/média cardinalidade; one-hot com handle_unknown='ignore' (categoria nova em produção vira vetor de zeros, não erro)."
br,categórica,INCLUIR — one-hot (fit só no treino),"Código nominal de rodovia (124 valores); one-hot evita ordem artificial entre BRs. br=0 já virou NULL na Gold (D-05), tratado como categoria 'ausente' explícita pelo imputador constante."
tipo_pista,categórica,INCLUIR — one-hot (fit só no treino),"Baixa/média cardinalidade; one-hot com handle_unknown='ignore' (categoria nova em produção vira vetor de zeros, não erro)."
sentido_via,categórica,INCLUIR — one-hot (fit só no treino),"Baixa/média cardinalidade; one-hot com handle_unknown='ignore' (categoria nova em produção vira vetor de zeros, não erro)."
uso_solo,categórica,INCLUIR — one-hot (fit só no treino),"Baixa/média cardinalidade; one-hot com handle_unknown='ignore' (categoria nova em produção vira vetor de zeros, não erro)."
dia_semana,categórica,INCLUIR — one-hot (fit só no treino),"Baixa/média cardinalidade; one-hot com handle_unknown='ignore' (categoria nova em produção vira vetor de zeros, não erro)."
fase_dia,categórica,INCLUIR — one-hot (fit só no treino),"Baixa/média cardinalidade; one-hot com handle_unknown='ignore' (categoria nova em produção vira vetor de zeros, não erro)."
municipio,categórica (alta cardinalidade — 2.057 valores),"INCLUIR — frequência (fit só no treino, D-17)",One-hot explodiria dimensionalidade sem ganho proporcional; frequência relativa calculada exclusivamente no treino evita leakage de estatística de validação/teste.
km,numérica,INCLUIR — imputação mediana + padronização (fit só no treino),"Posição no trecho; sentinela <=0 já é NULL na Gold (D-04), imputado pela mediana do treino; km_valido preserva o sinal de 'não informado'."
latitude,numérica,INCLUIR — imputação mediana + padronização (fit só no treino),Localização contínua do evento; sem sentinela remanescente na Gold atual (D-18).
longitude,numérica,INCLUIR — imputação mediana + padronização (fit só no treino),Localização contínua do evento; sem sentinela remanescente na Gold atual (D-18).
hora,numérica,INCLUIR — imputação mediana + padronização (fit só no treino),"Hora do relógio (0-23); pico de gravidade às 19h documentado na EDA, distinto do pico de volume."
hora_sin,numérica,INCLUIR — imputação mediana + padronização (fit só no treino),Componente cíclica da hora — captura a continuidade 23h->0h que a hora inteira não representa.
hora_cos,numérica,INCLUIR — imputação mediana + padronização (fit só no treino),"Par do seno, para reconstrução unívoca do ciclo de 24h."
mes,numérica,INCLUIR — imputação mediana + padronização (fit só no treino),"Sinal isolado fraco (Cramér's V=0,008, D-08) mas mantido por potencial de interação com outras features (regra: não remover só por baixa correlação isolada)."
br_valido,booleana,INCLUIR — repassada como 0/1 (sem escala),"Quase-constante (99,75% True) mas a minoria carrega sinal forte: grave=28,33% quando True vs. 7,64% quando False — mantida (D-17/regra de não remover por quase-constância sem checar o efeito da minoria)."
km_valido,booleana,INCLUIR — repassada como 0/1 (sem escala),"Quase-constante (99,52% True); grave=28,35% (True) vs. 13,68% (False) — mesma lógica de br_valido."
fim_de_semana,booleana,INCLUIR — repassada como 0/1 (sem escala),"Simplificação direta de dia_semana; grave levemente maior no fim de semana (30,19% vs. 27,35%)."
tracado_reta,booleana,INCLUIR — repassada como 0/1 (sem escala),"Multi-hot de tracado_via (Gold, D-Etapa2); frequência varia de 71,58% (reta) a 0,06% (túnel) — as mais raras têm baixo poder estatístico isolado, mas nenhuma foi removida sem evidência de variância zero (só geocoord_valido, D-18, se qualifica)."
tracado_curva,booleana,INCLUIR — repassada como 0/1 (sem escala),"Multi-hot de tracado_via (Gold, D-Etapa2); frequência varia de 71,58% (reta) a 0,06% (túnel) — as mais raras têm baixo poder estatístico isolado, mas nenhuma foi removida sem evidência de variância zero (só geocoord_valido, D-18, se qualifica)."
tracado_aclive,booleana,INCLUIR — repassada como 0/1 (sem escala),"Multi-hot de tracado_via (Gold, D-Etapa2); frequência varia de 71,58% (reta) a 0,06% (túnel) — as mais raras têm baixo poder estatístico isolado, mas nenhuma foi removida sem evidência de variância zero (só geocoord_valido, D-18, se qualifica)."
